created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-06-15T11:43:22+00:00,158,3.60319,2.81842,2.86028,61767.08203,17142.32227,0.83729,0.01485,0.98515,,,,
2025-06-15T11:44:11+00:00,159,3.59623,2.83405,2.81842,61647.76953,17142.32227,0.83850,0.00552,0.99448,,,,
2025-06-15T11:45:01+00:00,160,3.62419,2.77192,2.83405,62127.11719,17142.32227,0.83366,0.02242,0.97758,,,,
2025-06-15T11:45:50+00:00,161,3.60087,2.82362,2.77192,61727.27344,17142.32227,0.83769,0.01831,0.98169,,,,
2025-06-15T11:46:40+00:00,162,3.59855,2.82883,2.82362,61687.50000,17142.32227,0.83810,0.00184,0.99816,,,,
2025-06-15T11:47:29+00:00,163,3.63830,2.74128,2.82883,62368.87891,17142.32227,0.83125,0.03194,0.96806,,,,
2025-06-15T11:48:19+00:00,164,3.64538,2.72607,2.74128,62490.28906,17142.32227,0.83004,0.00558,0.99442,,,,
2025-06-15T11:49:08+00:00,165,3.62419,2.77192,2.72607,62127.11719,17142.32227,0.83366,0.01654,0.98346,,,,
2025-06-15T11:49:57+00:00,166,3.62185,2.77706,2.77192,62086.95703,17142.32227,0.83407,0.00185,0.99815,,,,
2025-06-15T11:50:47+00:00,167,3.64775,2.72101,2.77706,62530.84375,17142.32227,0.82963,0.02060,0.97940,,,,
2025-06-15T11:51:37+00:00,168,3.65011,2.71596,2.72101,62571.42188,17142.32227,0.82923,0.00186,0.99814,,,,
2025-06-15T11:52:26+00:00,169,3.66437,2.68583,2.71596,62815.78516,17142.32227,0.82681,0.01122,0.98878,,,,
2025-06-15T11:53:16+00:00,170,3.68110,2.65103,2.68583,63102.68750,17142.32227,0.82399,0.01313,0.98687,,,,
2025-06-15T11:54:05+00:00,171,3.65961,2.69584,2.65103,62734.17969,17142.32227,0.82762,0.01662,0.98338,,,,
2025-06-15T11:54:55+00:00,172,3.66199,2.69083,2.69584,62774.96484,17142.32227,0.82722,0.00186,0.99814,,,,
2025-06-15T11:55:45+00:00,173,3.68351,2.64609,2.69083,63143.84375,17142.32227,0.82359,0.01691,0.98309,,,,
2025-06-15T11:56:34+00:00,174,3.68831,2.63623,2.64609,63226.24609,17142.32227,0.82278,0.00374,0.99626,,,,
2025-06-15T11:57:24+00:00,175,3.70521,2.60196,2.63623,63515.96875,17142.32227,0.81996,0.01317,0.98683,,,,
2025-06-15T11:58:13+00:00,176,3.70521,2.60196,2.60196,63515.96875,17142.32227,0.81996,0.00000,1.00000,,,,
2025-06-15T11:59:03+00:00,177,3.70764,2.59709,2.60196,63557.52734,17142.32227,0.81956,0.00187,0.99813,,,,
2025-06-15T11:59:53+00:00,178,3.70279,2.60683,2.59710,63474.46484,17142.32227,0.82037,0.00374,0.99626,,,,
2025-06-15T12:00:42+00:00,179,3.69554,2.62150,2.60683,63350.17578,17142.32227,0.82158,0.00559,0.99441,,,,
2025-06-15T12:01:32+00:00,180,3.68831,2.63623,2.62150,63226.24609,17142.32227,0.82278,0.00559,0.99441,,,,
2025-06-15T12:02:21+00:00,181,3.69313,2.62640,2.63623,63308.82031,17142.32227,0.82198,0.00374,0.99626,,,,
2025-06-15T12:03:11+00:00,182,3.70764,2.59709,2.62640,63557.52734,17142.32227,0.81956,0.01128,0.98872,,,,
2025-06-15T12:04:05+00:00,183,3.69072,2.63131,2.59710,63267.52344,17142.32227,0.82238,0.01300,0.98700,,,,
