date,entry_id,Temperature,Humidity,PM2.5,PM10,CO,CO2
2025-06-18T12:33:44+00:00,2517,27.3,81.0,16.8,21.7,2.40938,403.90726
2025-06-18T12:34:34+00:00,2518,27.4,80.8,17.4,23.5,2.41513,404.11591
2025-06-18T12:35:23+00:00,2519,27.4,80.9,17.2,21.7,2.40364,404.13879
2025-06-18T12:36:13+00:00,2520,27.4,80.7,17.1,21.6,2.30769,404.17719
2025-06-18T12:37:04+00:00,2521,27.3,80.9,17.3,24.2,2.39791,404.13879
2025-06-18T12:37:58+00:00,2522,27.3,81.0,17.2,22.0,2.42667,404.13879
2025-06-18T12:38:50+00:00,2523,27.2,81.2,16.6,20.9,2.39791,404.10071
2025-06-18T12:39:48+00:00,2524,27.3,81.2,16.9,24.1,2.40938,404.01047
2025-06-18T12:40:37+00:00,2525,27.3,81.2,17.3,21.3,2.40938,404.13113
2025-06-18T12:41:26+00:00,2526,27.2,81.3,16.9,20.3,2.39219,404.04034
2025-06-18T12:43:13+00:00,2527,27.2,81.6,16.9,23.2,2.35245,404.13879
2025-06-18T12:44:02+00:00,2528,27.2,81.5,17.3,23.9,2.40938,404.13113
2025-06-18T12:44:51+00:00,2529,27.2,81.4,17.5,23.9,2.40364,404.12354
2025-06-18T12:45:41+00:00,2530,27.2,81.4,17.3,22.3,2.40364,404.16946
2025-06-18T12:46:30+00:00,2531,27.2,81.5,16.9,21.9,2.40938,404.10831
2025-06-18T12:48:14+00:00,2532,27.2,81.6,16.9,22.0,2.38648,404.12354
2025-06-18T12:49:03+00:00,2533,27.2,81.6,16.8,20.8,2.28557,404.14645
2025-06-18T12:49:55+00:00,2534,27.2,81.6,17.1,22.8,2.4209,404.1618
2025-06-18T12:50:44+00:00,2535,27.3,81.4,17.1,21.7,2.41513,404.13113
2025-06-18T12:51:34+00:00,2536,27.3,81.3,17.4,21.3,2.4209,404.07043
2025-06-18T12:52:24+00:00,2537,27.3,81.4,17.3,21.5,2.38078,404.17719
2025-06-18T12:53:14+00:00,2538,27.3,81.5,17.1,22.6,2.23101,404.13879
2025-06-18T12:54:07+00:00,2539,27.3,81.4,17.7,23.3,2.43246,404.1618
2025-06-18T12:54:57+00:00,2540,27.3,81.3,17.9,22.8,2.39219,404.16946
2025-06-18T12:55:49+00:00,2541,27.3,81.4,17.9,22.3,2.37509,404.18491
2025-06-18T12:56:39+00:00,2542,27.3,81.8,18.3,21.8,2.34119,404.18491
2025-06-18T12:57:28+00:00,2543,27.2,81.8,19.0,22.9,2.40938,404.18491
2025-06-18T12:58:20+00:00,2544,27.2,82.0,20.2,27.6,2.44407,404.26266
2025-06-18T12:59:10+00:00,2545,27.2,82.0,19.0,25.2,2.47916,404.85889
2025-06-18T12:59:59+00:00,2546,27.2,81.8,16.9,22.2,2.61132,404.65289
2025-06-18T13:00:52+00:00,2547,27.3,81.6,19.1,26.4,2.60519,404.49503
2025-06-18T13:01:41+00:00,2548,27.3,81.7,17.6,21.5,2.58079,404.43799
2025-06-18T13:02:31+00:00,2549,27.2,81.7,19.3,26.1,2.62361,404.47052
2025-06-18T13:03:20+00:00,2550,27.2,81.9,18.6,23.2,2.39791,404.52789
2025-06-18T13:04:10+00:00,2551,27.2,81.7,18.4,22.8,2.58079,404.41376
2025-06-18T13:04:59+00:00,2552,27.3,81.6,18.6,24.2,2.61132,404.4299
2025-06-18T13:05:48+00:00,2553,27.3,81.5,18.3,23.3,2.52658,404.51965
2025-06-18T13:06:41+00:00,2554,27.3,81.7,18.7,23.3,2.56866,404.42181
2025-06-18T13:07:30+00:00,2555,27.2,81.7,19.0,26.9,2.58687,404.45422
2025-06-18T13:08:22+00:00,2556,27.2,81.9,18.8,26.4,2.50871,404.44611
2025-06-18T13:09:12+00:00,2557,27.3,81.6,18.4,25.1,2.64213,404.38159
2025-06-18T13:10:01+00:00,2558,27.2,81.8,21.1,27.9,2.55658,404.41376
2025-06-18T13:10:54+00:00,2559,27.2,81.8,19.3,23.6,2.65454,404.51144
2025-06-18T13:11:46+00:00,2560,27.2,81.2,20.0,27.1,2.63595,404.48685
2025-06-18T13:12:38+00:00,2561,27.2,81.4,19.7,25.8,2.49685,404.44611
2025-06-18T13:13:28+00:00,2562,27.2,81.7,19.6,24.8,2.67324,404.53613
2025-06-18T13:14:17+00:00,2563,27.2,81.7,18.4,23.5,2.72999,404.42181
2025-06-18T13:15:07+00:00,2564,27.1,81.9,18.6,24.6,2.65454,404.34961
2025-06-18T13:16:51+00:00,2565,27.1,82.0,18.8,24.3,2.667,404.41376
2025-06-18T13:17:43+00:00,2566,27.1,82.0,18.0,23.3,2.6795,404.47052
2025-06-18T13:18:32+00:00,2567,27.1,82.0,19.5,25.5,2.6795,404.36557
2025-06-18T13:19:21+00:00,2568,27.1,82.0,20.1,28.3,2.72363,404.37357
2025-06-18T13:20:11+00:00,2569,27.1,82.1,19.5,24.6,2.67324,404.4057
2025-06-18T13:21:00+00:00,2570,27.1,82.0,18.5,23.0,2.59297,404.39764
2025-06-18T13:22:41+00:00,2571,27.1,82.0,19.5,26.9,2.68577,404.45422
2025-06-18T13:23:31+00:00,2572,27.2,82.1,19.3,24.5,2.76193,404.41376
2025-06-18T13:24:20+00:00,2573,27.2,81.8,18.9,25.4,2.56866,404.42181
2025-06-18T13:25:09+00:00,2574,27.3,81.7,18.5,22.6,2.56866,404.47052
2025-06-18T13:25:59+00:00,2575,27.3,81.7,19.5,26.8,2.56262,404.38959
2025-06-18T13:26:48+00:00,2576,27.3,81.6,19.6,24.9,2.72999,404.4299
2025-06-18T13:27:38+00:00,2577,27.3,81.6,19.2,25.4,2.76836,404.4057
2025-06-18T13:28:27+00:00,2578,27.3,81.6,20.0,26.4,2.77479,404.38159
2025-06-18T13:29:16+00:00,2579,27.3,81.5,20.6,28.4,2.79418,404.41376
2025-06-18T13:30:06+00:00,2580,27.3,81.5,19.8,25.2,2.72999,404.44611
2025-06-18T13:30:55+00:00,2581,27.3,81.3,19.6,26.3,2.76193,404.47052
2025-06-18T13:31:45+00:00,2582,27.4,81.2,19.8,27.6,2.82673,404.4299
2025-06-18T13:32:34+00:00,2583,27.4,81.1,20.5,28.4,2.83983,404.42181
2025-06-18T13:33:23+00:00,2584,27.3,81.3,19.7,25.8,2.83327,404.43799
2025-06-18T13:34:13+00:00,2585,27.3,81.3,19.5,25.6,2.91951,404.47052
2025-06-18T13:35:02+00:00,2586,27.3,81.4,20.0,27.0,2.9128,404.47867
2025-06-18T13:35:52+00:00,2587,27.4,81.4,20.1,27.6,2.87281,404.48685
2025-06-18T13:36:41+00:00,2588,27.4,81.2,19.1,24.9,2.93296,404.2081
2025-06-18T13:37:31+00:00,2589,27.3,81.2,19.7,26.3,2.78124,404.39764
2025-06-18T13:38:20+00:00,2590,27.3,81.3,20.1,25.8,2.93296,404.46237
2025-06-18T13:39:09+00:00,2591,27.3,81.3,19.7,26.5,2.95324,404.46237
2025-06-18T13:39:59+00:00,2592,27.3,81.4,19.8,26.2,2.6795,404.50323
